policy,workflow,failure_mode,run,injection_stage,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,scenario_id,annotator
fixed,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,3547.2,True,3547.2,arith_chain_ambiguous_delegation_fixed_r0,yc-real
fixed,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,3675.4,True,3675.4,arith_chain_ambiguous_delegation_fixed_r1,yc-real
fixed,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1329.7,False,0.0,arith_chain_ambiguous_delegation_fixed_r2,yc-real
heuristic,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,3513.6,True,3513.6,arith_chain_ambiguous_delegation_heuristic_r0,yc-real
heuristic,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,3587.5,True,3587.5,arith_chain_ambiguous_delegation_heuristic_r1,yc-real
heuristic,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1664.7,False,0.0,arith_chain_ambiguous_delegation_heuristic_r2,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,4957.8,True,4957.8,arith_chain_ambiguous_delegation_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,4801.1,True,4801.1,arith_chain_ambiguous_delegation_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1551.3,False,0.0,arith_chain_ambiguous_delegation_retry(heuristic)_r2,yc-real
llm,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,5221.5,True,5221.5,arith_chain_ambiguous_delegation_llm_r0,yc-real
llm,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,5358.8,True,5358.8,arith_chain_ambiguous_delegation_llm_r1,yc-real
llm,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1511.2,False,0.0,arith_chain_ambiguous_delegation_llm_r2,yc-real
llm_noupstream,arith_chain,ambiguous_delegation,0,1,True,True,0,1.0,1496.4,False,0.0,arith_chain_ambiguous_delegation_llm_noupstream_r0,yc-real
