policy,workflow,failure_mode,run,injection_stage,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,scenario_id,annotator
fixed,loan_approval,ambiguous_delegation,0,1,True,True,0,1.0,2939.1,False,0.0,loan_approval_ambiguous_delegation_fixed_r0,yc-real
fixed,loan_approval,ambiguous_delegation,1,1,False,False,2,0.0,5466.0,True,5466.0,loan_approval_ambiguous_delegation_fixed_r1,yc-real
heuristic,loan_approval,ambiguous_delegation,0,1,True,True,0,1.0,1704.5,False,0.0,loan_approval_ambiguous_delegation_heuristic_r0,yc-real
heuristic,loan_approval,ambiguous_delegation,1,1,False,False,2,0.0,7679.9,True,7679.9,loan_approval_ambiguous_delegation_heuristic_r1,yc-real
retry(heuristic),loan_approval,ambiguous_delegation,0,1,True,True,0,1.0,1796.6,False,0.0,loan_approval_ambiguous_delegation_retry(heuristic)_r0,yc-real
retry(heuristic),loan_approval,ambiguous_delegation,1,1,False,False,2,0.0,7328.0,True,7328.0,loan_approval_ambiguous_delegation_retry(heuristic)_r1,yc-real
fixed,loan_approval,tool_invocation_error,0,1,False,False,2,0.0,7023.8,True,7023.8,loan_approval_tool_invocation_error_fixed_r0,yc-real
fixed,loan_approval,tool_invocation_error,1,1,True,True,0,1.0,11688.8,False,0.0,loan_approval_tool_invocation_error_fixed_r1,yc-real
heuristic,loan_approval,tool_invocation_error,0,1,True,True,0,1.0,3981.4,False,0.0,loan_approval_tool_invocation_error_heuristic_r0,yc-real
heuristic,loan_approval,tool_invocation_error,1,1,True,True,0,1.0,14426.8,False,0.0,loan_approval_tool_invocation_error_heuristic_r1,yc-real
retry(heuristic),loan_approval,tool_invocation_error,0,1,False,False,2,0.0,30131.6,True,30131.6,loan_approval_tool_invocation_error_retry(heuristic)_r0,yc-real
retry(heuristic),loan_approval,tool_invocation_error,1,1,True,True,0,1.0,3498.7,False,0.0,loan_approval_tool_invocation_error_retry(heuristic)_r1,yc-real
fixed,loan_approval,context_pollution,0,1,False,False,2,0.0,4099.7,True,4099.7,loan_approval_context_pollution_fixed_r0,yc-real
fixed,loan_approval,context_pollution,1,1,False,False,2,0.0,9866.4,True,9866.4,loan_approval_context_pollution_fixed_r1,yc-real
heuristic,loan_approval,context_pollution,0,1,False,False,2,0.0,3861.2,True,3861.2,loan_approval_context_pollution_heuristic_r0,yc-real
heuristic,loan_approval,context_pollution,1,1,False,False,2,0.0,4202.8,True,4202.8,loan_approval_context_pollution_heuristic_r1,yc-real
retry(heuristic),loan_approval,context_pollution,0,1,False,False,2,0.0,5522.7,True,5522.7,loan_approval_context_pollution_retry(heuristic)_r0,yc-real
retry(heuristic),loan_approval,context_pollution,1,1,False,False,2,0.0,7927.0,True,7927.0,loan_approval_context_pollution_retry(heuristic)_r1,yc-real
fixed,loan_approval,conflicting_outputs,0,1,False,False,2,0.0,5491.0,True,5491.0,loan_approval_conflicting_outputs_fixed_r0,yc-real
fixed,loan_approval,conflicting_outputs,1,1,False,False,2,0.0,4915.7,True,4915.7,loan_approval_conflicting_outputs_fixed_r1,yc-real
heuristic,loan_approval,conflicting_outputs,0,1,False,False,2,0.0,7390.9,True,7390.9,loan_approval_conflicting_outputs_heuristic_r0,yc-real
heuristic,loan_approval,conflicting_outputs,1,1,False,False,2,0.0,18950.1,True,18950.1,loan_approval_conflicting_outputs_heuristic_r1,yc-real
retry(heuristic),loan_approval,conflicting_outputs,0,1,False,False,2,0.0,29477.8,True,29477.8,loan_approval_conflicting_outputs_retry(heuristic)_r0,yc-real
retry(heuristic),loan_approval,conflicting_outputs,1,1,False,False,2,0.0,19024.2,True,19024.2,loan_approval_conflicting_outputs_retry(heuristic)_r1,yc-real
fixed,loan_approval,premature_action,0,1,False,False,2,0.0,17955.0,True,17955.0,loan_approval_premature_action_fixed_r0,yc-real
fixed,loan_approval,premature_action,1,1,False,False,2,0.0,4423.1,True,4423.1,loan_approval_premature_action_fixed_r1,yc-real
heuristic,loan_approval,premature_action,0,1,False,False,2,0.0,5041.9,True,5041.9,loan_approval_premature_action_heuristic_r0,yc-real
heuristic,loan_approval,premature_action,1,1,False,False,2,0.0,10962.5,True,10962.5,loan_approval_premature_action_heuristic_r1,yc-real
retry(heuristic),loan_approval,premature_action,0,1,False,False,2,0.0,40992.5,True,40992.5,loan_approval_premature_action_retry(heuristic)_r0,yc-real
retry(heuristic),loan_approval,premature_action,1,1,False,False,2,0.0,8784.7,True,8784.7,loan_approval_premature_action_retry(heuristic)_r1,yc-real
