policy,workflow,failure_mode,run,injection_stage,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,scenario_id,annotator
fixed,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,6604.5,True,6604.5,arith_chain_ambiguous_delegation_fixed_r0,yc-real
fixed,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,3803.2,True,3803.2,arith_chain_ambiguous_delegation_fixed_r1,yc-real
fixed,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1557.2,False,0.0,arith_chain_ambiguous_delegation_fixed_r2,yc-real
heuristic,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,4319.4,True,4319.4,arith_chain_ambiguous_delegation_heuristic_r0,yc-real
heuristic,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,4268.9,True,4268.9,arith_chain_ambiguous_delegation_heuristic_r1,yc-real
heuristic,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,3176.0,False,0.0,arith_chain_ambiguous_delegation_heuristic_r2,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,11219.0,True,11219.0,arith_chain_ambiguous_delegation_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,13732.1,True,13732.1,arith_chain_ambiguous_delegation_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,3252.9,False,0.0,arith_chain_ambiguous_delegation_retry(heuristic)_r2,yc-real
llm,arith_chain,ambiguous_delegation,0,1,True,True,0,1.0,4850.1,False,0.0,arith_chain_ambiguous_delegation_llm_r0,yc-real
llm,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,5514.0,True,5514.0,arith_chain_ambiguous_delegation_llm_r1,yc-real
llm,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1711.5,False,0.0,arith_chain_ambiguous_delegation_llm_r2,yc-real
oracle,arith_chain,ambiguous_delegation,0,1,True,True,0,1.0,1535.7,False,0.0,arith_chain_ambiguous_delegation_oracle_r0,yc-real
oracle,arith_chain,ambiguous_delegation,1,1,True,True,0,1.0,1537.9,False,0.0,arith_chain_ambiguous_delegation_oracle_r1,yc-real
oracle,arith_chain,ambiguous_delegation,2,1,True,True,0,1.0,1783.7,False,0.0,arith_chain_ambiguous_delegation_oracle_r2,yc-real
fixed,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,3993.3,False,0.0,arith_chain_tool_invocation_error_fixed_r0,yc-real
fixed,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1616.4,False,0.0,arith_chain_tool_invocation_error_fixed_r1,yc-real
fixed,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1230.6,False,0.0,arith_chain_tool_invocation_error_fixed_r2,yc-real
heuristic,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1804.5,False,0.0,arith_chain_tool_invocation_error_heuristic_r0,yc-real
heuristic,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1242.7,False,0.0,arith_chain_tool_invocation_error_heuristic_r1,yc-real
heuristic,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1295.8,False,0.0,arith_chain_tool_invocation_error_heuristic_r2,yc-real
retry(heuristic),arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1372.6,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,tool_invocation_error,1,1,True,True,0,1.0,3810.0,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1816.8,False,0.0,arith_chain_tool_invocation_error_retry(heuristic)_r2,yc-real
llm,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1434.7,False,0.0,arith_chain_tool_invocation_error_llm_r0,yc-real
llm,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,3039.9,False,0.0,arith_chain_tool_invocation_error_llm_r1,yc-real
llm,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1340.2,False,0.0,arith_chain_tool_invocation_error_llm_r2,yc-real
oracle,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1398.6,False,0.0,arith_chain_tool_invocation_error_oracle_r0,yc-real
oracle,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1425.2,False,0.0,arith_chain_tool_invocation_error_oracle_r1,yc-real
oracle,arith_chain,tool_invocation_error,2,1,True,True,0,1.0,1332.5,False,0.0,arith_chain_tool_invocation_error_oracle_r2,yc-real
fixed,arith_chain,context_pollution,0,1,False,False,2,0.0,5471.3,True,5471.3,arith_chain_context_pollution_fixed_r0,yc-real
fixed,arith_chain,context_pollution,1,1,False,False,2,0.0,3645.1,True,3645.1,arith_chain_context_pollution_fixed_r1,yc-real
fixed,arith_chain,context_pollution,2,1,False,False,2,0.0,3802.1,True,3802.1,arith_chain_context_pollution_fixed_r2,yc-real
heuristic,arith_chain,context_pollution,0,1,False,False,2,0.0,3447.8,True,3447.8,arith_chain_context_pollution_heuristic_r0,yc-real
heuristic,arith_chain,context_pollution,1,1,False,False,2,0.0,5840.4,True,5840.4,arith_chain_context_pollution_heuristic_r1,yc-real
heuristic,arith_chain,context_pollution,2,1,False,False,2,0.0,3321.5,True,3321.5,arith_chain_context_pollution_heuristic_r2,yc-real
retry(heuristic),arith_chain,context_pollution,0,1,False,False,2,0.0,5378.7,True,5378.7,arith_chain_context_pollution_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,context_pollution,1,1,False,False,2,0.0,6158.6,True,6158.6,arith_chain_context_pollution_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,context_pollution,2,1,False,False,2,0.0,4771.3,True,4771.3,arith_chain_context_pollution_retry(heuristic)_r2,yc-real
llm,arith_chain,context_pollution,0,1,True,True,0,1.0,4071.0,False,0.0,arith_chain_context_pollution_llm_r0,yc-real
llm,arith_chain,context_pollution,1,1,False,False,2,0.0,8314.0,True,8314.0,arith_chain_context_pollution_llm_r1,yc-real
llm,arith_chain,context_pollution,2,1,True,True,0,1.0,3965.3,False,0.0,arith_chain_context_pollution_llm_r2,yc-real
oracle,arith_chain,context_pollution,0,1,True,True,0,1.0,2046.9,False,0.0,arith_chain_context_pollution_oracle_r0,yc-real
oracle,arith_chain,context_pollution,1,1,True,True,0,1.0,1328.3,False,0.0,arith_chain_context_pollution_oracle_r1,yc-real
oracle,arith_chain,context_pollution,2,1,True,True,0,1.0,1462.1,False,0.0,arith_chain_context_pollution_oracle_r2,yc-real
fixed,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,5785.0,True,5785.0,arith_chain_conflicting_outputs_fixed_r0,yc-real
fixed,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,9401.2,True,9401.2,arith_chain_conflicting_outputs_fixed_r1,yc-real
fixed,arith_chain,conflicting_outputs,2,1,False,False,2,0.0,4608.3,True,4608.3,arith_chain_conflicting_outputs_fixed_r2,yc-real
heuristic,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,6510.4,True,6510.4,arith_chain_conflicting_outputs_heuristic_r0,yc-real
heuristic,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,4623.0,True,4623.0,arith_chain_conflicting_outputs_heuristic_r1,yc-real
heuristic,arith_chain,conflicting_outputs,2,1,False,False,2,0.0,7058.0,True,7058.0,arith_chain_conflicting_outputs_heuristic_r2,yc-real
retry(heuristic),arith_chain,conflicting_outputs,0,1,False,False,2,0.0,8474.0,True,8474.0,arith_chain_conflicting_outputs_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,conflicting_outputs,1,1,False,False,2,0.0,7735.5,True,7735.5,arith_chain_conflicting_outputs_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,conflicting_outputs,2,1,False,False,2,0.0,9564.8,True,9564.8,arith_chain_conflicting_outputs_retry(heuristic)_r2,yc-real
llm,arith_chain,conflicting_outputs,0,1,True,True,0,1.0,5529.7,False,0.0,arith_chain_conflicting_outputs_llm_r0,yc-real
llm,arith_chain,conflicting_outputs,1,1,True,True,0,1.0,5657.7,False,0.0,arith_chain_conflicting_outputs_llm_r1,yc-real
llm,arith_chain,conflicting_outputs,2,1,True,True,0,1.0,9370.9,False,0.0,arith_chain_conflicting_outputs_llm_r2,yc-real
oracle,arith_chain,conflicting_outputs,0,1,True,True,0,1.0,2285.1,False,0.0,arith_chain_conflicting_outputs_oracle_r0,yc-real
oracle,arith_chain,conflicting_outputs,1,1,True,True,0,1.0,3547.7,False,0.0,arith_chain_conflicting_outputs_oracle_r1,yc-real
oracle,arith_chain,conflicting_outputs,2,1,True,True,0,1.0,2630.6,False,0.0,arith_chain_conflicting_outputs_oracle_r2,yc-real
fixed,arith_chain,premature_action,0,1,False,False,2,0.0,5619.0,True,5619.0,arith_chain_premature_action_fixed_r0,yc-real
fixed,arith_chain,premature_action,1,1,False,False,2,0.0,6250.0,True,6250.0,arith_chain_premature_action_fixed_r1,yc-real
fixed,arith_chain,premature_action,2,1,False,False,2,0.0,5563.8,True,5563.8,arith_chain_premature_action_fixed_r2,yc-real
heuristic,arith_chain,premature_action,0,1,False,False,2,0.0,4259.4,True,4259.4,arith_chain_premature_action_heuristic_r0,yc-real
heuristic,arith_chain,premature_action,1,1,False,False,2,0.0,4991.5,True,4991.5,arith_chain_premature_action_heuristic_r1,yc-real
heuristic,arith_chain,premature_action,2,1,False,False,2,0.0,5425.2,True,5425.2,arith_chain_premature_action_heuristic_r2,yc-real
retry(heuristic),arith_chain,premature_action,0,1,False,False,2,0.0,8400.5,True,8400.5,arith_chain_premature_action_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,premature_action,1,1,False,False,2,0.0,7063.8,True,7063.8,arith_chain_premature_action_retry(heuristic)_r1,yc-real
retry(heuristic),arith_chain,premature_action,2,1,False,False,2,0.0,7388.6,True,7388.6,arith_chain_premature_action_retry(heuristic)_r2,yc-real
llm,arith_chain,premature_action,0,1,True,True,0,1.0,4433.9,False,0.0,arith_chain_premature_action_llm_r0,yc-real
llm,arith_chain,premature_action,1,1,True,True,0,1.0,4444.9,False,0.0,arith_chain_premature_action_llm_r1,yc-real
llm,arith_chain,premature_action,2,1,True,True,0,1.0,4263.4,False,0.0,arith_chain_premature_action_llm_r2,yc-real
oracle,arith_chain,premature_action,0,1,True,True,0,1.0,2622.2,False,0.0,arith_chain_premature_action_oracle_r0,yc-real
oracle,arith_chain,premature_action,1,1,True,True,0,1.0,2723.9,False,0.0,arith_chain_premature_action_oracle_r1,yc-real
oracle,arith_chain,premature_action,2,1,True,True,0,1.0,4660.3,False,0.0,arith_chain_premature_action_oracle_r2,yc-real
