policy,workflow,failure_mode,run,injection_stage,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,scenario_id,annotator
fixed,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,3916.9,True,3916.9,ambiguous_delegation_fixed_r0,yc-real
fixed,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,3346.6,True,3346.6,ambiguous_delegation_fixed_r1,yc-real
heuristic,arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,3377.3,True,3377.3,ambiguous_delegation_heuristic_r0,yc-real
heuristic,arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,3536.9,True,3536.9,ambiguous_delegation_heuristic_r1,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,0,1,False,False,2,0.0,5274.5,True,5274.5,ambiguous_delegation_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,ambiguous_delegation,1,1,False,False,2,0.0,5513.8,True,5513.8,ambiguous_delegation_retry(heuristic)_r1,yc-real
fixed,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,2010.1,False,0.0,tool_invocation_error_fixed_r0,yc-real
fixed,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1099.7,False,0.0,tool_invocation_error_fixed_r1,yc-real
heuristic,arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1733.6,False,0.0,tool_invocation_error_heuristic_r0,yc-real
heuristic,arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1138.4,False,0.0,tool_invocation_error_heuristic_r1,yc-real
retry(heuristic),arith_chain,tool_invocation_error,0,1,True,True,0,1.0,1203.5,False,0.0,tool_invocation_error_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,tool_invocation_error,1,1,True,True,0,1.0,1104.3,False,0.0,tool_invocation_error_retry(heuristic)_r1,yc-real
fixed,arith_chain,context_pollution,0,1,False,False,2,0.0,3839.8,True,3839.8,context_pollution_fixed_r0,yc-real
fixed,arith_chain,context_pollution,1,1,False,False,2,0.0,3865.4,True,3865.4,context_pollution_fixed_r1,yc-real
heuristic,arith_chain,context_pollution,0,1,False,False,2,0.0,9392.1,True,9392.1,context_pollution_heuristic_r0,yc-real
heuristic,arith_chain,context_pollution,1,1,False,False,2,0.0,3870.8,True,3870.8,context_pollution_heuristic_r1,yc-real
retry(heuristic),arith_chain,context_pollution,0,1,False,False,2,0.0,7680.1,True,7680.1,context_pollution_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,context_pollution,1,1,False,False,2,0.0,4400.6,True,4400.6,context_pollution_retry(heuristic)_r1,yc-real
fixed,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,5064.9,True,5064.9,conflicting_outputs_fixed_r0,yc-real
fixed,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,6079.0,True,6079.0,conflicting_outputs_fixed_r1,yc-real
heuristic,arith_chain,conflicting_outputs,0,1,False,False,2,0.0,10499.4,True,10499.4,conflicting_outputs_heuristic_r0,yc-real
heuristic,arith_chain,conflicting_outputs,1,1,False,False,2,0.0,5341.8,True,5341.8,conflicting_outputs_heuristic_r1,yc-real
retry(heuristic),arith_chain,conflicting_outputs,0,1,False,False,2,0.0,9150.3,True,9150.3,conflicting_outputs_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,conflicting_outputs,1,1,False,False,2,0.0,8063.6,True,8063.6,conflicting_outputs_retry(heuristic)_r1,yc-real
fixed,arith_chain,premature_action,0,1,False,False,2,0.0,4866.9,True,4866.9,premature_action_fixed_r0,yc-real
fixed,arith_chain,premature_action,1,1,False,False,2,0.0,4171.6,True,4171.6,premature_action_fixed_r1,yc-real
heuristic,arith_chain,premature_action,0,1,False,False,2,0.0,5303.2,True,5303.2,premature_action_heuristic_r0,yc-real
heuristic,arith_chain,premature_action,1,1,False,False,2,0.0,5131.8,True,5131.8,premature_action_heuristic_r1,yc-real
retry(heuristic),arith_chain,premature_action,0,1,False,False,2,0.0,6094.2,True,6094.2,premature_action_retry(heuristic)_r0,yc-real
retry(heuristic),arith_chain,premature_action,1,1,False,False,2,0.0,6619.5,True,6619.5,premature_action_retry(heuristic)_r1,yc-real
