policy,depth,failure_mode,run,seed,injection_stage,scenario_id,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,annotator,notes
fixed,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,4186.3,True,4186.3,yc-real,
fixed,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,2851.8,True,2851.8,yc-real,
fixed,3,ambiguous_delegation,2,2,1,depth3__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1674.1,False,0.0,yc-real,
heuristic,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,2645.1,True,2645.1,yc-real,
heuristic,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,3121.0,True,3121.0,yc-real,
heuristic,3,ambiguous_delegation,2,2,1,depth3__ambiguous_delegation__inj1__run0002,True,True,0,1.0,2354.0,False,0.0,yc-real,
retry(heuristic),3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,4723.6,True,4723.6,yc-real,
retry(heuristic),3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,5532.6,True,5532.6,yc-real,
retry(heuristic),3,ambiguous_delegation,2,2,1,depth3__ambiguous_delegation__inj1__run0002,True,True,0,1.0,2363.6,False,0.0,yc-real,
llm,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,4732.8,True,4732.8,yc-real,
llm,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,5313.9,True,5313.9,yc-real,
llm,3,ambiguous_delegation,2,2,1,depth3__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1629.7,False,0.0,yc-real,
oracle,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,True,True,0,1.0,1927.4,False,0.0,yc-real,
oracle,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,True,True,0,1.0,1541.9,False,0.0,yc-real,
oracle,3,ambiguous_delegation,2,2,1,depth3__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1987.7,False,0.0,yc-real,
fixed,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1399.8,False,0.0,yc-real,
fixed,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1501.3,False,0.0,yc-real,
fixed,3,tool_invocation_error,2,2,1,depth3__tool_invocation_error__inj1__run0002,True,True,0,1.0,1585.0,False,0.0,yc-real,
heuristic,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1290.5,False,0.0,yc-real,
heuristic,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1329.6,False,0.0,yc-real,
heuristic,3,tool_invocation_error,2,2,1,depth3__tool_invocation_error__inj1__run0002,True,True,0,1.0,1229.5,False,0.0,yc-real,
retry(heuristic),3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1432.7,False,0.0,yc-real,
retry(heuristic),3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1240.0,False,0.0,yc-real,
retry(heuristic),3,tool_invocation_error,2,2,1,depth3__tool_invocation_error__inj1__run0002,True,True,0,1.0,1177.3,False,0.0,yc-real,
llm,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,5424.9,False,0.0,yc-real,
llm,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1278.4,False,0.0,yc-real,
llm,3,tool_invocation_error,2,2,1,depth3__tool_invocation_error__inj1__run0002,True,True,0,1.0,1336.2,False,0.0,yc-real,
oracle,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1181.4,False,0.0,yc-real,
oracle,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1138.1,False,0.0,yc-real,
oracle,3,tool_invocation_error,2,2,1,depth3__tool_invocation_error__inj1__run0002,True,True,0,1.0,1519.4,False,0.0,yc-real,
fixed,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,3302.1,True,3302.1,yc-real,
fixed,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,2349.3,True,2349.3,yc-real,
fixed,3,context_pollution,2,2,1,depth3__context_pollution__inj1__run0002,False,False,1,0.0,2385.2,True,2385.2,yc-real,
heuristic,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,4764.3,True,4764.3,yc-real,
heuristic,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,2473.5,True,2473.5,yc-real,
heuristic,3,context_pollution,2,2,1,depth3__context_pollution__inj1__run0002,False,False,1,0.0,4319.2,True,4319.2,yc-real,
retry(heuristic),3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,3853.9,True,3853.9,yc-real,
retry(heuristic),3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,4064.3,True,4064.3,yc-real,
retry(heuristic),3,context_pollution,2,2,1,depth3__context_pollution__inj1__run0002,False,False,1,0.0,4010.3,True,4010.3,yc-real,
llm,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,True,True,0,1.0,3134.5,False,0.0,yc-real,
llm,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,5559.7,True,5559.7,yc-real,
llm,3,context_pollution,2,2,1,depth3__context_pollution__inj1__run0002,True,True,0,1.0,8507.3,False,0.0,yc-real,
oracle,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,True,True,0,1.0,1415.9,False,0.0,yc-real,
oracle,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,True,True,0,1.0,1263.2,False,0.0,yc-real,
oracle,3,context_pollution,2,2,1,depth3__context_pollution__inj1__run0002,True,True,0,1.0,1217.9,False,0.0,yc-real,
fixed,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,7617.0,True,7617.0,yc-real,
fixed,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,3777.4,True,3777.4,yc-real,
fixed,3,conflicting_outputs,2,2,1,depth3__conflicting_outputs__inj1__run0002,False,False,1,0.0,4278.2,True,4278.2,yc-real,
heuristic,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,4017.7,True,4017.7,yc-real,
heuristic,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,4651.8,True,4651.8,yc-real,
heuristic,3,conflicting_outputs,2,2,1,depth3__conflicting_outputs__inj1__run0002,False,False,1,0.0,4288.5,True,4288.5,yc-real,
retry(heuristic),3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,False,False,1,0.0,8821.2,True,8821.2,yc-real,
retry(heuristic),3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,False,False,1,0.0,6844.6,True,6844.6,yc-real,
retry(heuristic),3,conflicting_outputs,2,2,1,depth3__conflicting_outputs__inj1__run0002,False,False,1,0.0,6352.3,True,6352.3,yc-real,
llm,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,True,True,0,1.0,5238.8,False,0.0,yc-real,
llm,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,True,True,0,1.0,8502.2,False,0.0,yc-real,
llm,3,conflicting_outputs,2,2,1,depth3__conflicting_outputs__inj1__run0002,True,True,0,1.0,4530.6,False,0.0,yc-real,
oracle,3,conflicting_outputs,0,0,1,depth3__conflicting_outputs__inj1__run0000,True,True,0,1.0,2406.5,False,0.0,yc-real,
oracle,3,conflicting_outputs,1,1,1,depth3__conflicting_outputs__inj1__run0001,True,True,0,1.0,2146.8,False,0.0,yc-real,
oracle,3,conflicting_outputs,2,2,1,depth3__conflicting_outputs__inj1__run0002,True,True,0,1.0,3634.6,False,0.0,yc-real,
fixed,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,3210.0,True,3210.0,yc-real,
fixed,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,4096.2,True,4096.2,yc-real,
fixed,3,premature_action,2,2,1,depth3__premature_action__inj1__run0002,False,False,1,0.0,3463.5,True,3463.5,yc-real,
heuristic,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,3868.5,True,3868.5,yc-real,
heuristic,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,4480.1,True,4480.1,yc-real,
heuristic,3,premature_action,2,2,1,depth3__premature_action__inj1__run0002,False,False,1,0.0,3712.7,True,3712.7,yc-real,
retry(heuristic),3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,False,False,1,0.0,11134.7,True,11134.7,yc-real,
retry(heuristic),3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,False,False,1,0.0,5300.6,True,5300.6,yc-real,
retry(heuristic),3,premature_action,2,2,1,depth3__premature_action__inj1__run0002,False,False,1,0.0,6863.5,True,6863.5,yc-real,
llm,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,True,True,0,1.0,5007.4,False,0.0,yc-real,
llm,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,True,True,0,1.0,4175.7,False,0.0,yc-real,
llm,3,premature_action,2,2,1,depth3__premature_action__inj1__run0002,True,True,0,1.0,4198.5,False,0.0,yc-real,
oracle,3,premature_action,0,0,1,depth3__premature_action__inj1__run0000,True,True,0,1.0,2723.2,False,0.0,yc-real,
oracle,3,premature_action,1,1,1,depth3__premature_action__inj1__run0001,True,True,0,1.0,2650.2,False,0.0,yc-real,
oracle,3,premature_action,2,2,1,depth3__premature_action__inj1__run0002,True,True,0,1.0,2920.5,False,0.0,yc-real,
fixed,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,False,False,3,0.0,5939.9,True,5939.9,yc-real,
fixed,5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,5365.2,True,5365.2,yc-real,
fixed,5,ambiguous_delegation,2,2,1,depth5__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1806.1,False,0.0,yc-real,
heuristic,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,True,True,0,1.0,1450.3,False,0.0,yc-real,
heuristic,5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,5273.4,True,5273.4,yc-real,
heuristic,5,ambiguous_delegation,2,2,1,depth5__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1517.6,False,0.0,yc-real,
retry(heuristic),5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,False,False,3,0.0,6757.4,True,6757.4,yc-real,
retry(heuristic),5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,6526.6,True,6526.6,yc-real,
retry(heuristic),5,ambiguous_delegation,2,2,1,depth5__ambiguous_delegation__inj1__run0002,True,True,0,1.0,1677.3,False,0.0,yc-real,
llm,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,False,False,3,0.0,7245.7,True,7245.7,yc-real,
llm,5,ambiguous_delegation,1,1,1,depth5__ambiguous_delegation__inj1__run0001,False,False,3,0.0,7457.0,True,7457.0,yc-real,
llm,5,ambiguous_delegation,2,2,1,depth5__ambiguous_delegation__inj1__run0002,True,True,0,1.0,4111.0,False,0.0,yc-real,
oracle,5,ambiguous_delegation,0,0,1,depth5__ambiguous_delegation__inj1__run0000,True,True,0,1.0,1705.8,False,0.0,yc-real,
