policy,depth,failure_mode,run,seed,injection_stage,scenario_id,injected_task_success,final_task_success,cascade_radius,recovery_completeness,time_to_detection_ms,escalated,escalation_latency_ms,annotator,notes
fixed,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,2499.3,True,2499.3,yc-real,
fixed,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,4183.2,True,4183.2,yc-real,
heuristic,3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,2673.4,True,2673.4,yc-real,
heuristic,3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,2458.7,True,2458.7,yc-real,
retry(heuristic),3,ambiguous_delegation,0,0,1,depth3__ambiguous_delegation__inj1__run0000,False,False,1,0.0,4782.8,True,4782.8,yc-real,
retry(heuristic),3,ambiguous_delegation,1,1,1,depth3__ambiguous_delegation__inj1__run0001,False,False,1,0.0,3901.2,True,3901.2,yc-real,
fixed,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,2295.4,False,0.0,yc-real,
fixed,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,2032.5,False,0.0,yc-real,
heuristic,3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1215.3,False,0.0,yc-real,
heuristic,3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1595.5,False,0.0,yc-real,
retry(heuristic),3,tool_invocation_error,0,0,1,depth3__tool_invocation_error__inj1__run0000,True,True,0,1.0,1944.5,False,0.0,yc-real,
retry(heuristic),3,tool_invocation_error,1,1,1,depth3__tool_invocation_error__inj1__run0001,True,True,0,1.0,1229.9,False,0.0,yc-real,
fixed,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,3560.4,True,3560.4,yc-real,
fixed,3,context_pollution,1,1,1,depth3__context_pollution__inj1__run0001,False,False,1,0.0,6559.8,True,6559.8,yc-real,
heuristic,3,context_pollution,0,0,1,depth3__context_pollution__inj1__run0000,False,False,1,0.0,6299.1,True,6299.1,yc-real,
