policy,task_id,run,scenario_id,final_correct,delegation_fidelity,granularity_error,wasted_subtasks,produced_steps,gold_steps,annotator,notes
monolithic,0,0,decomp_monolithic_t0000,True,0.667,2,0,1,3,yc-real,
monolithic,1,1,decomp_monolithic_t0001,True,0.333,2,0,1,3,yc-real,
monolithic,2,2,decomp_monolithic_t0002,True,0.333,2,0,1,3,yc-real,
monolithic,3,3,decomp_monolithic_t0003,True,0.333,2,0,1,3,yc-real,
monolithic,4,4,decomp_monolithic_t0004,True,0.333,2,0,1,3,yc-real,
monolithic,5,5,decomp_monolithic_t0005,True,0.333,2,0,1,3,yc-real,
monolithic,6,6,decomp_monolithic_t0006,True,0.333,2,0,1,3,yc-real,
monolithic,7,7,decomp_monolithic_t0007,True,0.333,2,0,1,3,yc-real,
monolithic,8,8,decomp_monolithic_t0008,True,0.333,2,0,1,3,yc-real,
monolithic,9,9,decomp_monolithic_t0009,True,0.333,2,0,1,3,yc-real,
decompose,0,0,decomp_decompose_t0000,True,1.0,0,0,3,3,yc-real,
decompose,1,1,decomp_decompose_t0001,True,1.0,0,0,3,3,yc-real,
decompose,2,2,decomp_decompose_t0002,True,1.0,0,0,3,3,yc-real,
decompose,3,3,decomp_decompose_t0003,True,1.0,0,0,3,3,yc-real,
decompose,4,4,decomp_decompose_t0004,True,1.0,0,0,3,3,yc-real,
decompose,5,5,decomp_decompose_t0005,True,1.0,0,0,3,3,yc-real,
decompose,6,6,decomp_decompose_t0006,True,1.0,0,0,3,3,yc-real,
decompose,7,7,decomp_decompose_t0007,True,1.0,0,0,3,3,yc-real,
decompose,8,8,decomp_decompose_t0008,True,1.0,0,0,3,3,yc-real,
decompose,9,9,decomp_decompose_t0009,True,1.0,0,0,3,3,yc-real,
